Vanvard	VANPN
ígjøgnum	EA
árini	SNPAA
.	.

Seinasta	DSN
vikuskiftið	SNSAA
varð	VNAS3
skipað	VA
fyri	ED
íslendskari	APSFSD
søluframsýning	SFSD
í	EA
Badmintonhøllini	SFSDA
í	ED
Havn	SFSDL
.	.

sunnkist	SNPN

Herí	DN
er	VNPS3
roknað	VA
bæði	DN
saft	SFSN
og	C
kjøt	SNSN
,	,
tí	C
tað	PNSA
umboðar	VNPS3
henda	PDFSN
fyritøkan	SFSNA
nevniliga	DN
eisini	DN
.	.

Hann	PMSN
framleiðir	VNPS3
serturkaðan	APSMSA
fisk	SMSA
,	,
sum	CR
verður	VNPS3
skorin	VAMSN
í	EA
bitar	SMPAA
og	C
seldur	VAMSN
sum	CR
»	»
snack	F
«	«
eins	C
og	C
chips	F
og	C
líknandi	VP
.	.

Ein	PIMSN
partur	SMSN
av	ED
teirra	PMPG
heimamarknaði	SMSD

Talan	SFSN
er	VNPS3
um	EA
eitt	PINSA
rættuliga	DN
stórt	APSNSA
øki	SNSA
,	,
sum	CR
skal	VNPS3
fyllast	VE
út	DN
.	.

-	-
Ætlanin	SFSNA
er	VNPS3
ikki	DN
slept	VAFSN
heilt	DN
.	.

Longi	DN
hevur	VNPS3
verið	VA
trongligt	APSNSN
á	ED
vestaru	APSFSD
bryggju	SFSD
í	ED
Klaksvík	SFSDL
,	,
men	C
um	DN
ikki	DN
so	DN
langa	APSFSA
tíð	SFSA
,	,
verður	VNPS3
nýggja	APWNSN
bingjuplássið	SNSNA
klárt	APSNSN
at	CI
taka	VI
í	EA
nýtslu	SFSA
.	.

Kitla	VMS
hann	PMSA
undir	EA
armarnar	SMPAA
.	.

Seinastu	ASWFPA
vikurnar	SFPAA
hava	VNPP3
Búi	SMSNP
Dam	SXP
,	,
Beinta	SFSNP
Clothier	SXP
og	C
Dánjal	SMSNP
Dam	SXP
á	ED
Neystabø	SMSDL
ferðast	VE
kring	EA
landið	SNSAA
við	ED
einum	PIMSD
leiki	SMSD
.	.

Tað	PNSN
krevur	VNPS3
nógv	DN
av	ED
leikarunum	SMPDA
,	,
at	CI
tey	PNPN
tora	VNPP3
at	CI
spyrja	VI
børnini	SNPAA
um	EA
ráð	SNPA
,	,
tí	C
børn	SNPN
eru	VNPP3
bráðhugsin	APSNPN
og	C
ikki	DN
bangin	APSNPN
fyri	EN
at	CI
siga	VI
hugsan	SFSA
bart	DN
út	DN
.	.

Tað	PNSN
er	VNPS3
eingin	PIFSN
avbjóðing	SFSN
hjá	ED
børnunum	SNPDA
bara	DN
at	CI
kopiera	VI
.	.

Komandi	VP
vikuskiftið	SNSAA
verður	VNPS3
leikurin	SMSNA
sýndur	VAMSN
á	ED
G	X
!	!

Hetta	PDNSN
er	VNPS3
ikki	DN
fyrstu	APSFSN
ferð	SFSN
,	,
at	C
føroysktfødda	VAFSN
Laura	SFSNP
Thomsen	SXP
hevur	VNPS3
verið	VA
úti	DN
í	ED
stóru	APSNSD
verð	SFSD
og	C
hjálpt	VA
fólki	SNPD
.	.

Hetta	PDNSN
skrivar	VNPS3
heimasíðan	SFSNA
hjá	ED
Business	F
-	-
Line	F
.	.

-	-
Ein	PIMSN
fullur	APSMSN
maður	SMSN
varð	VNAS3
tikin	VAMSN
inn	DN
á	EA
støðina	SFSAA
at	CI
sova	VI
rúsin	SMSAA
av	ED
sær	PMSD
,	,
tað	PNSN
var	VNAS3
í	ED
stórum	APSNPD
tað	PNSA
heila	APWNSA
,	,
sigur	VNPS3
vakthavandi	VP
.	.

Hesin	PDMSN
fundurin	SMSNA
skuldi	VNAS3
vera	VI
,	,
eftir	DN
at	C
Sosialurin	SMSNA
var	VNAS3
farin	VA
til	EA
prentingar	SFSG
seinnapartin	SMSAA
mánadagin	SMSAA
.	.

Tað	PNSN
verið	VA
seg	PNSA
mentanartiltøk	SNPN
av	ED
ymsum	APWNPD
slagi	SNSD
,	,
kvøldskúlar	SMSN
ella	C
hvat	PNSN
fólk	SNSN
nú	DN
kann	VNPS3
ganga	VI
til	EN
,	,
um	C
tey	PNPN
hava	VI
møguleikan	SMSAA
at	CI
ferðast	VI
aftur	DN
og	C
fram	DN
.	.

Tjóðveldisflokkurin	SMSNA
vann	VNAS3
valið	SNSAA

Og	C
ikki	DN
kann	VNPS3
sigast	VE
annað	PINSN
enn	DN
at	C
flokkurin	SMSNA
samstundis	DN
við	ED
framgongdini	SFSDA
hevur	VNPS3
fingið	VA
eina	PIFSA
»	»
andlitslyfting	SFSA
«	«
eisini	DN
.	.

Og	C
tað	PNSN
skuldi	VNAS3
ikki	DN
so	DN
nógv	DN
til	EN
áðrenn	C
tað	PNSN
gjørdist	VEAS3
upp	DN
aftur	DN
verri	DN
.	.

Hóast	C
framgongdin	SFSNA
ikki	DN
var	VNAS3
so	DN
stór	APSFSN
,	,
so	DN
fekk	VNAS3
flokkurin	SMSNA
eisini	DN
hesaferð	DN
nógv	DN
fleiri	ACSFPA
atkvøður	SFPA
í	ED
Vágum	SFPDL
enn	DN
vanligt	APSNSN
.	.

Men	C
tann	PDMSN
heilt	DN
stóri	APWMSN
taparin	SMSNA
var	VNAS3
sum	CR
verða	VI
man	VNPS3
Verkamannafylkingin	SFSNA
.	.

Veljarakanningin	SFSNA
skeiv	APSFSN

deild	SFSD

Hjá	ED
hinum	PDNPD
feløgunum	SNPDA
snýr	VNPS3
kappingin	SFSNA
seg	PFSA
um	EA
at	CI
vinna	VI
deildina	SFSAA
,	,
og	C
tað	PNSN
kann	VNPS3
væl	DN
vera	VI
,	,
at	C
okkurt	PINSN
av	ED
hesum	PDNPD
feløgunum	SNPDA
fer	VNPS3
at	CI
vera	VI
við	EN
í	ED
stríðnum	SNSDA
um	EA
steypið	SNSAA
og	C
gullkrónurnar	SFPAA
.	.

deild	SFSD
frammanundan	DN
eru	VNPP3
umboðað	VANPN
í	ED
1	NOFSD
.	.

Hann	PMSN
vísir	VNPS3
á	EN
,	,
at	C
limirnir	SMPNA
í	ED
nevndini	SFSDA
hava	VI
fingið	VA
nógv	DN
tilfar	SNSA
og	C
samtíðis	DN
atgongd	SFSA
til	EA
serfrøðingabólkin	SMSAA
hjá	ED
landsstýrinum	SNSDA
fyri	EN
at	CI
kunna	VI
seg	PMSA
við	ED
alt	DN
málið	SNSAA
.	.

Anfinnur	SMSNP
Kallsberg	SNSNL
,	,
løgmaður	SMSN
sigur	VNPS3
við	EA
Sosialin	SMSAA
,	,
at	C
hann	PMSN
dugir	VNPS3
als	DN
ikki	DN
at	CI
síggja	VI
nakra	PIFSA
orsøk	SFSA
til	EN
eisini	DN
at	CI
taka	VI
henda	PDMSA
spurningin	SMSAA
upp	DN
á	ED
fundinum	SMSDA
týsdagin	SMSAA
og	C
vísir	VNPS3
til	EN
,	,
at	CI
landsstýrið	SNSNA
enn	DN
einki	PINSA
hevur	VNPS3
fyrireikað	VA
á	ED
hesum	PDNSD
øki	SNSD
.	.

Og	C
tað	PNSN
hava	VNPP3
teir	PMPN
longu	DN
givið	VA
tilsøgn	SFSA
um	EN
.	.

Anfinn	SMSNP
Kallsberg	SNSNL
sigur	VNPS3
,	,
at	C
tað	PNSN
ber	VNPS3
sjálvandi	DN
til	EN
at	CI
sáa	VI
split	SNSA
og	C
misálit	SNSA
og	C
gera	VI
fólk	SNPA
bangin	APSNPN
.	.

Men	C
báðir	PIMPN
partarnir	SMPNA
eru	VNPP3
samdir	APSMPN
um	EN
heldur	DCN
at	CI
finna	VI
eina	PIFSA
politiska	APSFSA
loysn	SFSA
.	.

-	-
Kundi	VNAS3
tað	PNSN
ikki	DN
einsvæl	DN
verið	VA
ein	PIMSN
embætismaður	SMSN
,	,
sum	CR
tók	VNAS3
sær	PMSD
av	ED
hesum	PDNSD
arbeiðinum	SNSDA
heldur	DCN
enn	DN
ein	PIMSN
landsstýrismaður	SMSN
?	?

Tað	PNSN
hevur	VNPS3
verið	VA
so	DN
stak	AI
friðarligt	APSNSN
í	ED
seinastuni	SFSDA
at	CI
løgreglan	SFSNA
nærmast	DN
hevur	VNPS3
verið	VA
arbeiðsleys	APSFSN
.	.

Herverkini	SNPNA
,	,
sum	CR
vóru	VNAP3
framd	VANPN
seinasta	ASSFSA
vikuskifti	SNSA
eru	VNPP3
uppklárað	VANSN
og	C
hetta	PDNSA
vikuskiftið	SNSAA
hildu	VNAP3
ótangarnir	SMPNA
seg	PNPA
í	ED
skinninum	SNSDA
.	.

Vakthavandi	VP
á	ED
støðini	SFSDA
á	ED
Tvøroyri	SFSDL
sigur	VNPS3
at	C
tað	PDNSN
keðiligasta	ASWNSN
sum	CR
hendi	VNAS3
har	DN
suðuri	DN
hetta	PDNSA
vikuskiftið	SNSAA
var	VNAS3
:	:

Fyrilestrar	SMPN
eru	VNPP3
eisini	DN
um	EA
føroyska	APWFSA
náttúru	SFSA
,	,
søgu	SFSA
og	C
samfelagslív	SFSA
.	.

Tað	PNSN
verður	VNPS3
hildið	VA
annað	PINSA
hvørt	PINSA
ár	SNSA
og	C
hetta	PDNSN
er	VNPS3
níggjunda	NONSN
skeiðið	SNSNA
.	.

Sigmundur	SMSNP
veit	VNPS3
ikki	DN
enn	DN
,	,
nær	DN
hann	PMSN
fær	VNPS3
passið	SNSAA
hjá	ED
sær	PMSD
aftur	DN
.	.

Vit	P1PN
vóru	VNAP1
25	NC
mans	SMSG
við	ED
Explorer	F
,	,
tá	C
ið	C
vit	P1PN
vóru	VNAP1
tiknir	VAMPN
.	.

Hinir	PDMPN
,	,
sum	CR
vóru	VNAP3
við	ED
Explorer	F
,	,
sluppu	VNAP3
avstað	DN
aftur	DN
rættiliga	DN
skjótt	DN
.	.

Saman	DN
við	ED
uttanríkisráðnum	SNSDA
arbeiðir	VNPS3
eisini	DN
danska	APWFSN
ambasadan	SFSNA
í	ED
Paris	F
og	C
advokaturin	SMSNA
hjá	ED
Sigmundi	SMSDP
fyri	EA
at	CI
loysa	VI
málið	SNSAA
.	.

Sigmundur	SMSNP
Andreasen	SXP
hevur	VNPS3
sjálvur	APSMSN
eisini	DN
hoyrt	VA
graml	SNSA
um	EA
,	,
at	C
okkurt	PINSN
skip	SNSN
skal	VNPS3
vera	VI
tikið	VA
afturat	DN
,	,
men	C
hann	PMSN
hevur	VNPS3
heldur	DCN
ikki	DN
fingið	VA
tíðindini	SNPAA
váttað	VA
.	.

um	EA
vikuna	SFSAA

Lættari	ACSNSN
hjá	ED
ferðafólki	SNSD

Tað	PNSN
sama	APSNSN
er	VNPS3
ikki	DN
galdandi	VP
á	ED
øllum	APSNPD
leiðum	SFPD
hjá	ED
Maersk	F
.	.

Mong	APSNSN
vóru	VNAP3
tey	PDNPN
,	,
góð-	SNPNA
og	C
lovorðini	SNPNA
til	EA
Sofus	SMSAP
Poulsen	SXP
á	ED
samkomu	SFSD
á	ED
Hotel	SNSD
Hafnia	SX
sunnudagin	SMSAA
,	,
tá	C
hann	PMSN
kundi	VNAS3
hátíðarhalda	VI
sín	PMSA
50	NC
ára	SNPG
dag	SMSA
á	ED
føroysku	APWFSD
umboðsstovuni	SFSDA
í	ED
Aberdeen	F
.	.

Og	C
har	DN
vóru	VNAP3
fleiri	ACSNPN
av	ED
teimum	PDNPD
fólkum	SNPD
,	,
sum	CR
Sofus	SMSNP
á	EA
onkran	PIMSA
hátt	SMSA
hevur	VNPS3
givið	VA
eina	PIFSA
hjálpandi	VP
hond	SFSA
og	C
onkursvegna	DN
hevur	VNPS3
virkað	VA
saman	DN
við	EN
øll	PINPA
tey	PDNPA
árini	SNPAA
hann	PMSN
hevur	VNPS3
starvast	VE
á	ED
umboðsstovuni	SFSDA
í	ED
Aberdeen	F
.	.

Hann	PMSN
tók	VNAS3
eisini	DN
onkrar	PIFPA
áhugaverdar	APSFSA
hendingar	SFPA
fram	DN
.	.

-	-
Eg	P1SN
skal	VNPS3
ikki	DN
blanda	VI
meg	P1SA
uppí	DA
føroyskan	APSMSA
bygda-	SMSA
ella	C
býarpolitikk	SMSA
.	.

Sofus	SMSNP
Poulsen	SXP
takkaði	VNAS3
øllum	APSNPD
fyri	EA
gott	APSNSA
samstarv	SNSA
og	C
ynskti	VNAS3
alt	DN
gott	APSNSN
fyri	EN
Føroya	SFPGL
land	SNSA
.	.

-	-
Nei	I
.	.

Virðislønin	SFSNA
er	VNPS3
ein	PIMSN
gyltur	APSMSN
tarvur	SMSN

Ein	PIMSN
teirra	PNPG
,	,
sum	CR
fekk	VNAS3
hesa	PDFSA
virðislønina	SFSAA
,	,
var	VNAS3
ein	PIMSN
suðurafrikanari	SMSN
,	,
sum	CR
hevði	VNAS3
eina	PIFSA
heldur	DCN
øðrvísi	DN
matstovu	SFSA
.	.

Leiðslan	SFSNA
í	ED
danska	APWNSD
flogfelagnum	SNSDA
Maersk	F
Air	F
fer	VNPS3
í	EA
dag	SMSA
at	CI
almannakunngera	VI
,	,
at	CI
felagið	SNSNA
fer	VNPS3
undir	DN
eitt	PINSN
stórt	APSNSN
átak	SNSN
,	,
sum	CR
skal	VNPS3
hjálpa	VI
tí	PDNSD
illa	DN
stadda	APWNSD
felagnum	SNSDA
.	.

Í	ED
Svøríki	SNSDL
er	VNPS3
Carl	SMSNP
Gustaf	SMSNP
kongur	SMSN
rættiliga	DN
komin	VAMSN
í	EA
andglettin	SMSAA
,	,
eftir	EN
at	C
hann	PMSN
á	ED
einari	PIFSD
vitjan	SFSD
í	ED
Brunei	SNSDL
rósti	VNAS3
sultaninum	SMSDA
fyri	EN
at	CI
hava	VI
skipað	VA
landið	SNSAA
sum	CR
eitt	PINSA
opið	APSNSN
samfelag	SNSA
.	.

Vognarnir	SMPNA
verða	VNPP3
skýrdir	VAMPN
at	CI
vera	VI
lívshættisligir	APSMPN
fyri	EA
børn	SNPA
.	.

Í	ED
einum	PINSD
brævi	SNSD
,	,
sum	CR
Ciconia	F
hevur	VNPS3
fingið	VA
niðrifrá	DN
,	,
stendur	VNPS3
,	,
at	C
sambært	ED
Trygdarstýrinum	SNSDA
,	,
so	DN
er	VNPS3
vognurin	SMSNA
lívshættisligur	APSMSN
,	,
tí	C
at	C
eitt	PINSN
barn	SNSN
kann	VNPS3
blíva	VI
fast	DN
millum	EA
liftina	SFSAA
og	C
handtakið	SNSAA
.	.

Hon	PFSN
vísir	VNPS3
á	EA
,	,
at	CI
eitt	PINSN
tvey	NCNPN
til	EA
trý	NCNPN
ára	SNPG
gamalt	APSNSN
barn	SNSN
ikki	DN
passar	VNPS3
í	EA
liftina	SFSAA
,	,
sum	CR
vanliga	DN
verður	VNPS3
nýtt	VAFSN
í	ED
mesta	ASSNSD
lagi	SNSD
eitt	PINSA
ár	SNSA
.	.

Hendingin	SFSNA
fór	VNAS3
fram	DN
á	ED
smala	APWNSD
vegastrekkinum	SNSDA
millum	EA
Skálafjørð	SMSAL
og	C
Skála	SFSAL
,	,
og	C
tað	PNSN
tók	VNAS3
einar	NCMPA
5	NC
tímar	SMPA
,	,
áðrenn	C
fóðurið	SNSNA
var	VNAS3
fingið	VA
av	ED
vegnum	SMSDA
,	,
og	C
trailarin	SMSNA
var	VNAS3
komin	VAMSN
uppaftur	DN
á	EA
rættkjøl	SMSA

Sum	CR
skilst	VEPP3
,	,
sluppu	VNAP3
bilar	SMPN
ígjøgnum	DN
í	ED
løtum	SFSDA
,	,
men	C
undir	ED
sjálvari	APWFSD
upptøkuni	SFSDA
varð	VNAS3
neyðugt	APSNSN
at	CI
steingja	VI
vegin	SMSAA
fyri	ED
allari	APSFSD
ferðslu	SFSD
.	.

-	-
Um	C
tað	PNSN
er	VNPS3
í	ED
lagi	SNSD
,	,
hvat	PNSN
fer	VNPS3
landsstýrismaðurin	SMSNA
so	DN
at	CI
gera	VI
fyri	EN
,	,
at	C
tað	PNSN
við	ED
lóg	SFSD
verður	VNPS3
bannað	VANSN
,	,
spyrja	VI
tær	P2SD
báðar	PIFPN
.	.

-	-
Tað	PNSN
,	,
sum	CR
undrar	VNPS3
okkum	P1PA
,	,
er	VNPS3
,	,
at	C
ákærumyndugleikin	SMSNA
í	ED
blaðsamrøðuni	SFSDA
verður	VNPS3
endurgivin	VAMSN
fyri	ED
m.a.	T
at	CI
siga	VI
,	,
at	C
:	:
»	»
Tað	PNSN
,	,
sum	CR
fyrigongur	VNPS3
í	ED
Teilandi	SNSDL
,	,
kann	VNPS3
ongantíð	DN
koma	VI
undir	EA
føroyska	APSFSA
lóggávu	SFSA
,	,
og	C
tískil	DN
er	VNPS3
einki	PINSN
ólógligt	APSNSN
í	ED
einari	PIFSD
slíkari	APSFSD
lýsing	SFSD
í	ED
einum	PINSD
føroyskum	APSNSD
blaði	SNSD
«	«
,	,
siga	VI
tær	PDFPN
báðar	PIFPN
.	.

Hetta	PDNSN
verður	VNPS3
hátíðarhildið	VA
við	ED
ymsum	APSNPD
tiltøkum	SNPD
hesa	PDFSA
vikuna	SFSAA
.	.

00	NC
har	DN
øll	PINPN
eru	VNPP3
vælkomin	APSNPN
inn	DN
á	EA
gólvið	SNSAA
.	.

Arbeiðið	SNSNA
at	CI
byggja	VI
nýggja	APSMSA
Smyril	SMSN
gongur	VNPS3
framvegis	DN
sum	C
ætlað	VA
og	C
19	NOMSA
.	.

mars	SMSN
.	.

Tó	DN
hava	VNPP3
onkrir	PIMPN
dagar	SMPN
eisini	DN
verið	VA
,	,
har	DN
ið	CR
arbeiðið	SNSNA
hevur	VNPS3
verið	VA
darvað	VA
av	ED
arbeiðsósemjum	SFPD
í	ED
skipasmiðjuni	SFSDA
,	,
men	C
tað	PNSN
hava	VNPP3
bara	DN
verið	VA
einstakar	APSNPA
dagar	SMPA
.	.

Bókin	SFSNA
,	,
ið	CR
lýsir	VNPS3
Føroyar	SFPAL
undir	ED
kalda	APWNSD
krígnum	SNSDA
,	,
sæð	VA
frá	ED
einum	PINSD
sovjetiskum	APSNSD
sjónarhorni	SNSD
.	.

Strategiska	APSFSN
støða	SFSN
Føroya	SFPGL
mitt	DN
í	ED
Atlantshavinum	SNSDAL
loyvdi	VNAS3
ikki	DN
,	,
at	C
Føroyar	SFPNL
lógu	VNAP3
sum	CR
eitt	PINSN
uttanveltað	APSNSN
mitt	DN
millum	EA
eystur	SNSA
og	C
vestur	SNSA
,	,
og	C
tískil	DN
vóru	VNAP3
russar	SMPN
sannførdir	VAMPN
um	EA
,	,
at	C
tóku	VNAP3
Føroyar	SFPNL
loysing	SFSA
vildu	VNAP3
oyggarnar	SFPNA
í	EA
staðin	SMSAA
koma	VI
undir	EA
bretskar	APSMPA
og	C
/	/
ella	C
amerikanskar	APSMPA
veingir	SMPA
.	.

Sovjetsamveldið	SNSNA
var	VNAS3
sannført	APSNSN
um	EA
,	,
at	C
brast	VNAS3
kríggj	SNSN
á	EN
millum	EA
eystur	SNSA
og	C
vestur	SNSA
,	,
so	DN
skuldi	VNAS3
hetta	PDNSN
kríggj	SNSN
vinnast	VE
við	ED
kjarnorkuvápnum	SNPD
,	,
og	C
tískil	DN
kundu	VNAP3
eisini	DN
Føroyar	SFPNL
verið	VA
fyri	ED
kjarnorkuálopi	SNSD
.	.

Vánaligt	APSNSN
eftirlit	SNSN

Danskur	APSMSN
vinningur	SMSN

Umframt	DA
næmingar	SMPA
úr	ED
4.	NOMSD
,	,
5.	NOMSD
,	,
og	C
6.	NOMSD
,	,
flokki	SMSD
í	ED
Vágs	SMSGL
Skúla	SMSD
,	,
so	DN
tóku	VNAP3
eisini	DN
lærarar	SMPN
í	ED
Sekstettini	SFSDA
Suðurættin	SFSN
lut	SMSA
og	C
eisini	DN
Tvøroyrar	SFSGL
Hornorkestur	SNSN
.	.

Køna	APWFSN
leiðslan	SFSNA
hjá	ED
Ulf	SMSDP
Nordlund	F
vísti	VNAS3
seg	PMSA
at	CI
bera	VI
frukt	SFSA
,	,
tí	C
konsertin	SFSNA
sunnudagin	SMSAA
var	VNAS3
virðiligur	APSMSN
endi	SMSN
,	,
eftir	EA
harða	APSFSA
venjing	SFSA
í	EA
tveir	NCMPA
dagar	SMPA
,	,
har	DN
tað	PNSN
hugnaliga	APSNSN
og	C
felagsandin	SMSN
tó	DN
eisini	DN
átti	VNAS3
innivist	SFSA
.	.

-	-
Lógin	SFSNA
er	VNPS3
broytt	VAFSN
fyri	ED
stuttari	APSFSD
tíð	SFSD
síðani	DN
,	,
men	C
inntil	C
heilt	DN
nýliga	DN
hevur	VNPS3
tað	PNSN
verið	VA
soleiðis	DN
,	,
at	C
um	C
tú	P2SN
kom	VNAS2
sum	CR
føroyingur	SMSN
,	,
t.v.s.	T
við	ED
føroyskari	APSFSD
adressu	SFSD
,	,
so	DN
noyddist	VEAS2
tú	P2SN
at	CI
fara	VI
á	EA
eina	PIFSA
privatklinikk	SFSA
og	C
gjalda	VI
alt	DN
sjálv	APSFSN
.	.

Eg	P1SN
dugi	VNPS1
ikki	DN
at	CI
síggja	VI
,	,
hví	DN
nøkur	PIFSN
kvinna	SFSN
skuldi	VNAS3
farið	VA
ígjøgnum	EA
alt	DN
stríðið	SNSAA
við	ED
at	CI
skifta	VI
adressu	SFSA
og	C
fara	VI
niður	DN
til	EA
eina	PIFSA
fosturtøku	SFSA
,	,
tá	C
hon	PFSN
kann	VNPS3
gera	VI
tað	PNSA
her	DN
,	,
sigur	VNPS3
Turið	SFSNP
.	.

Sunnudagin	SMSAA
hevði	VNAS3
Kyndil	SMSN
møguleikan	SMSAA
at	CI
hevna	VI
allar	APSMPA
ósigrarnar	SMPAA
á	ED
hoyvíkingum	SMPD
,	,
men	C
enn	DN
einaferð	DN
prógvaði	VNAS3
H71	T
,	,
at	CI
teir	PMPN
hava	VNPP3
takið	SNSAA
á	ED
teimum	PDMPD
grønu	APWMPD
úr	ED
Havn	SFSDL
.	.

Tað	PNSN
var	VNAS3
eisini	DN
H71	T
,	,
ið	CR
fekk	VNAS3
bestu	ASWFSA
byrjanina	SFSAA
upp	DN
á	EA
dystin	SMSAA
.	.

Kyndil	SMSN
nýtti	VNAS3
bert	DA
7	NC
útileikarar	SMPA
í	ED
dystinum	SMSDA
,	,
meðan	C
H71	T
brúkti	VNAS3
allar	APSMPA
sínar	PFPG
tíggju	NC
útileikarar	SMPA
!	!

Jacob	SMSNP
Jónsson	SMSAP
minkaði	VNAS3
skjótt	DN
um	EA
munin	SMSAA
,	,
og	C
í	ED
næsta	APWNSD
álopinum	SNSDA
hjá	ED
Kyndli	SMSD
fingu	VNAP3
teir	PMPN
brotskast	SNSA
,	,
og	C
samstundis	DN
fekk	VNAS3
Henrik	SMSNP
Gerster	SXP
sína	PMSA
triðju	N0FSA
útvísing	SFSA
og	C
harvið	DN
reyða	APWNSA
kortið	SNSAA
.	.

Fiskimálaráðið	SNSNA
tigandi	VP

Nú	DN
hevur	VNPS3
reiðaríið	SNSAA
fingið	VA
viðhald	SNSA
í	ED
Føroya	SFPGL
Rætti	SMSD
.	.

Fólk	SNPN
ringdu	VNAP3
langa	APSFSA
tíð	SFSA
framman	DN
undan	EN
at	C
farið	VA
var	VNAS3
undir	EA
at	CI
skriva	VI
upp	DN
,	,
sigur	VNPS3
byggimeistarin	SMSNA
,	,
sum	CR
dagliga	DN
fær	VNPS3
fyrispurningar	SMPA
frá	ED
fólki	SNSD
um	EA
íbúðir	SFPA
.	.

Høgni	SMSNP
Mikkelsen	SXP
sigur	VNPS3
,	,
at	C
tær	PDFPN
størstu	ASWFPN
íbúðirnar	SFPNA
upp	DN
á	EA
125	NC
fermetar	SMPA
,	,
ið	CR
eru	VNPP3
átta	NC
í	ED
tali	SNSD
,	,
eru	VNPP3
allar	APWFPN
farnar	VAFPN
,	,
og	C
somuleiðis	DN
er	VNPS3
bróðurparturin	SMSNA
av	ED
teimum	PDFPD
24	NC
íbúðunum	SFPDA
á	EA
63	NC
fermetrar	SMPA
farnar	VAFPN
.	.

Arbeiðið	SNSNA
upp	DN
á	EA
Berjabrekku	SFSAL
3	NC
gevur	VNPS3
arbeiði	SNSA
til	EN
gott	DN
og	C
væl	DN
30	NC
mans	SMSG
,	,
harav	DN
teir	PDMPN
13	NC
starvast	VEPP3
hjá	ED
Høgna	SMSDP
Mikkelsen	SXP
sjálvum	APSMSD
.	.

Longu	DN
í	ED
1996	NC
,	,
tá	C
internetið	SNSNA
gjørdist	VEAS3
veruleiki	SMSN
í	ED
Føroyum	SFPDL
,	,
royndi	VNAS3
Sosialurin	SMSNA
seg	PMSA
so	DN
smátt	APSNSA
við	ED
tíðindum	SNPD
á	ED
netinum	SNSDA
,	,
og	C
síðani	DA
1997	NC
hevur	VNPS3
InternetSosialurin	SMSNA
verið	VA
ein	PIMSN
nátúrligur	APSMSN
partur	SMSN
í	ED
miðlavirkseminum	SNSDA
hjá	ED
Sosialinum	SMSDA
.	.

-	-
Nærleikin	SMSNA
hevur	VNPS3
stóran	APSMSA
týdning	SMSA
,	,
og	C
vit	P1PN
fara	VI
at	CI
gera	VI
nógv	DN
burtur	DN
úr	ED
at	CI
tosa	VI
við	EA
vanliga	APWNSA
fólkið	SNSAA
,	,
sigur	VNPS3
Jan	SMSNP
Müller	SXP
.	.

Áhugin	SMSNA
ikki	DN
minkandi	VP

Hóast	C
langa	APWMSA
flutningin	SMSAA
og	C
tað	PNSA
,	,
at	C
fiskurin	SMSNA
verður	VNPS3
seldur	VAMSN
bíligari	DCN
í	ED
Bretlandi	SNSDL
,	,
loysir	VNPS3
hetta	PDNSN
seg	PNSA
betur	DCN
fyri	EA
russisku	APWNPA
og	C
norsku	APWNPA
reiðaríini	SNPAA
enn	DN
at	CI
virka	VI
fiskin	SMSAA
umborð	DN
,	,
sigur	VNPS3
Mortan	SMSNP
Johannesen	SXP
,	,
reiðari	SMSN

Mortan	SMSNP
Johannesen	SXP
,	,
reiðari	SMSN
,	,
sigur	VNPS3
,	,
at	C
fiskiskapurin	SMSNA
hendan	PDMSA
túrin	SMSAA
hevur	VNPS3
verið	VA
góður	APSMSN
.	.

Fiskurin	SMSNA
verður	VNPS3
arbeiddur	VAMSN
við	ED
hond	SFSD
,	,
og	C
hvørt	PINSN
einstakt	APSNSN
bein	SNSN
verður	VNPS3
pilkað	VANSN
úr	ED
flakinum	SNSDA
.	.

Norsk	APSNPN
bløð	SNPN
skrivaðu	VNAP3
,	,
at	CI
hetta	PDNSN
var	VNAS3
eitt	PINSN
miljónahál	SNSN
-	-
eitt	PINSN
hál	SNSN
,	,
sum	CR
í	ED
ráfiski	SMSD
var	VNAS3
vert	APSNSN
eina	NCFSA
heila	APSFSA
miljón	SFSA
!	!

februar	SMSA
,	,
komu	VNAP1
vit	P1PN
í	EA
rættiligan	APSMSA
rokfiskiskap	SMSA
.	.

Strandferðslan	SFSNA
er	VNPS3
í	ED
ferð	SFSD
við	EN
at	CI
leggja	VI
eina	PIFSA
nýggja	APSFSA
ferðaætlan	SFSA
,	,
har	DN
summi	PINPN
fáa	VI
fleiri	ACSMPA
túrar	SMPA
og	C
onnur	PINPN
missa	VNPP3
túrar	SMPA

-	-
Talan	SFSN
kann	VNPS3
vera	VI
um	EA
ynski	SNPA
,	,
sum	CR
eru	VNPP3
komin	VANPN
ymsastaðni	DN
frá	EN
um	EA
at	CI
broyta	VI
fráferðir	SFPA
fyri	EN
at	CI
fáa	VI
eina	PIFSA
farleið	SFSA
at	CI
passa	VI
betri	DCN
og	C
at	CI
samsvara	VI
betri	DCN
við	EA
aðrar	PIFPA
leiðir	SFPA
.	.

Sostatt	DN
hava	VNPP3
nolsoyingar	SMPN
fingið	VA
ein	PIMSA
fastan	APSMSA
túr	SMSA
afturat	DN
á	ED
middegi	SMSD
sunnudag	SMSA
.	.

