-	KO
keypa	VNPP3
úr	DG
øðrum	PBNPD
londum	SNPD
.	KE

Framleiðarin	SMSNA
sigur	VNPS3
,	KC
at	C
hann	PPMSN
leggur	VNPS3
sera	DN
stóran	APSMSA
dent	SMSA
á	DN
at	CI
hava	VI
javna	APSFSA
framleiðslu	SFSA
við	DG
høgari	APSFSD
góðsku	SFSD
.	KE

Fyri	DN
at	CI
betra	VI
um	DG
matarlystin	SMSAA
hjá	DG
teimum	PDNPD
smáu	APWNPD
,	KC
er	VNPS3
grísurin	SMSNA
skorin	VAMSN
í	DG
smáar	APSMPA
dinosaurar	SMPA
.	KE

Miðbýurin	SMSNA
veksur	VNPS3

Handilsmiðstøðin	SFSNA
ikki	DN
slept	VAFSN

Við	DG
Norðborg	SFSD
á	DG
vestaru	APSFSD
bryggju	SFSD
hevur	VNPS3
eisini	DN
dúgliga	DN
verið	VANSN
fylt	VANSN
út	DN
í	DG
seinastuni	SFSDA
,	KC
og	C
væntar	VNPS3
borgarstjórin	SMSNA
,	KC
at	C
tá	C
tað	PDNSN
arbeiðið	SNSNA
er	VNPS3
liðugt	APSNSN
,	KC
verður	VNPS3
eitt	PBNSN
øki	SNSN
upp	DN
á	DG
millum	DG
4.	NO
-	KO
og	C
5.000	NO
fermetrar	SMPA
til	DG
bingjur	SFPA
og	C
annað	PBNSA
.	KE

-	KO
Knalla	VMS
bara	DN
gittaran	SMSAA
í	DG
høvdið	SNSAA
á	DG
honum	PPMSD
.	KE

Tey	PPNPN
syngja	VNPP3
,	KC
rópa	VNPP3
,	KC
flenna	VNPP3
,	KC
og	C
eru	VNPP3
fús	APSNPN
at	CI
koma	VI
við	DG
ráðum	SNPD
,	KC
tá	C
teir	PDMPN
tríggir	NCMPN
sjónleikararnir	SMPNA
koma	VNPP3
í	DG
trongar	APSFPA
støður	SFPA
.	KE

Á	DG
børnunum	SNPDA
sæst	VEPS3
aftur	DN
,	KC
at	CI
tey	PDNPN
trý	NCNPN
hava	VNPP3
rakt	VANSN
seymin	SMSAA
á	DG
høvdið	SNSAA
við	DN
samantvinna	VI
sjónleik	SMSA
og	C
tónleik	SMSA
.	KE

-	KO
Ein	PBMSN
stórur	APSMSN
trupulleiki	SMSN
hjá	DG
børnum	SNPD
í	DG
dag	SMSA
er	VNPS3
,	KC
at	CI
tey	PPNPN
sleppa	VNPP3
í	DG
alt	DN
ov	DN
stóran	APSMSA
mun	SMSA
undan	DN
at	CI
nýta	VI
sítt	PENSG
hugflog	SNSA
.	KE

Tey	PDNPN
trý	NCNPN
eru	VNPP3
ómetaliga	DN
fegin	APSNPN
um	DG
góðu	APWFSA
undirtøkuna	SFSAA
.	KE

Hvørja	PQFSA
viku	SFSA
fáa	VI
700	NO
børn	SNPN
í	DG
Garsila	SXP
ikki	DN
nøktandi	VP
føði	SFSD
,	KC
meðan	C
280	NO
børn	SNPN
eru	VNPP3
sera	DN
illa	DN
fyri	DN
orsakað	VANSN
av	C
hungri	SMSD
.	KE

Hetta	PDNSN
skrivar	VNPS3
heimasíðan	SFSNA
hjá	DG
Business	F
-	KO
Line	F
.	KE

-	KO
Ein	PBMSN
fullur	APSMSN
maður	SMSN
varð	VNAS3
tikin	VAMSN
inn	DN
á	DG
støðina	SFSAA
at	CI
sova	VI
rúsin	SMSAA
av	DG
sær	PPMSD
,	KC
tað	PPNSN
var	VNAS3
í	DG
stórum	APSNPD
tað	PPNSA
heila	APWNSA
,	KC
sigur	VNPS3
vakthavandi	VP
.	KE

Gerhard	SMSNP
Lognberg	SNSNP
sigur	VNPS3
,	KC
at	C
tá	C
peningurin	SMSNA
varð	VNAS3
játtaður	VAMSN
Strandferðsluni	SFSDA
til	DG
ein	PBMSA
eykatúr	SMSA
um	DG
Skopunarfjørð	SMSAP
,	KC
varð	VNAS3
roknað	VANSN
sum	C
givið	VANSN
,	KC
at	C
talan	SFSN
skuldi	VNAS3
vera	VI
um	DG
ein	PBMSA
túr	SMSA
av	DG
Gomlurætt	SFSDP
seint	DN
á	DG
kvøldi	SNSD
.	KE

So	DN
eru	VNPP3
tað	PPNSN
fólk	SNPN
,	KC
sum	CR
eitt	PBNSN
nú	DN
arbeiða	VNPP3
í	DG
vaktarskipanum	SFPDA
.	KE

Tað	PPNSN
var	VNAS3
Tjóðveldisflokkurin	SMSNA
,	KC
sum	CR
gjørdist	VEAS3
tann	PDMSN
heilt	DN
stóri	APWMSN
sigursharrin	SMSNA
til	DG
løgtingsvalið	SNSAA
.	KE

Trý	NCNPN
nýggj	APSNPN
umboð	SNPN
,	KC
sum	CR
avgjørt	DN
eru	VNPP3
í	DG
yngra	APWMSD
endanum	SMSDA
á	DG
aldurstalvuni	SFSDA
.	KE

Mundu	VNAP3
fingið	VANSN

Men	C
tað	PPNSN
hjálpti	VNAS3
so	DN
lítið	APSNSA
,	KC
tí	C
framgongdin	SFSNA
rakk	VNAS3
ikki	DN
til	DG
ein	PBMSA
nýggjan	APSMSA
tingmann	SMSA
afturat	DN
.	KE

Allir	PBMPN
persónarnir	SMPNA
,	KC
sum	CR
hava	VI
myndað	VANSN
Fylkingina	SFSAA
vóru	VNAP3
burtur	DN
áðrenn	DN
uppstillingin	SFSNA
var	VNAS3
byrjað	VANSN
og	C
sambært	DG
veljarakanningunum	SFPDA
stóðu	VNAP3
tey	PPNPN
framman	DN
fyri	DG
einum	PBNSD
rættiligum	APSNSD
skrædli	SNSD
.	KE

Samanlíkna	VI
vit	PP1PN
valið	SNSAA
við	DG
veljarakanningina	SFSAA
sum	C
Sosialurin	SMSNA
lat	VNAS3
gera	VI
,	KC
so	DN
síggja	VI
vit	PP1PN
at	C
kanningin	SFSNA
fór	VNAS3
rættuliga	DN
skeiv	APSNSN
.	KE

Átjan	NC
umfør	SNPN
standa	VI
fyri	DG
framman	DN
,	KC
og	C
síðsta	ASWMSA
leygardagin	SMSAA
í	DG
september	SMSD
,	KC
sum	CR
er	VNPS3
tann	PDMSA
26.	NO
,	KC
verður	VNPS3
greitt	APSNSN
,	KC
hvat	PQNSN
lið	SNSN
flytir	VNPS3
beinleiðis	DN
upp	DN
,	KC
og	C
hvat	PQNSN
lið	SNSN
skal	VNPS3
spæla	VI
um	DG
uppflyting	SFSA
móti	DG
tí	PDNSD
liðnum	SNSDA
,	KC
sum	CR
endar	VNPS3
næstniðast	DN
í	DG
1.	NO
deild	SFSD
.	KE

At	C
tað	PPNSN
fer	VNPS3
at	CI
enda	VI
soleiðis	DN
í	DG
heyst	SNSA
man	VNPS3
vera	VI
lítið	APSNSN
sannlíkt	APSNSN
.	KE

Nevndin	SFSNA
skal	VNPS3
siga	VI
sína	PPFSA
meining	SFSA
um	DG
tað	PPNSA
,	KC
sum	CR
landsstýrið	SNSNA
ætlar	VNPS3
sær	PPNSD
at	CI
gera	VI
.	KE

Mær	PP1SD
vitandi	VP
hevur	VNPS3
hann	PPMSN
einki	PBNSA
klárt	APSNSA
um	DG
eina	PBFSA
politiska	APSFSA
og	C
búskaparliga	APSFSA
uppgerð	SFSA
við	DG
Danmark	SNSAP
.	KE

-	KO
Tað	PPNSN
eru	VNPP3
helst	DSN
teir	PPMPN
føroyingar	SMPN
,	KC
sum	C
í	DG
dag	SMSA
standa	VI
og	C
yppa	VI
øksl	SFSN
og	C
óttafullir	APSMPN
spyrja	VI
,	KC
um	C
loysingin	SFSNA
nú	DN
verður	VNPS3
kroyst	VAFSN
niður	DN
yvir	DG
høvdið	SNSAA
av	DG
tjóðveldisflokki	SMSD
og	C
fólkaflokki	SMSD
,	KC
uttan	DN
at	CI
spælt	VANSN
verður	VNPS3
við	DG
opnum	APSNPD
kortum	SNPD
?	KE

Og	C
tað	PPNSN
verður	VNPS3
sum	CR
sagt	VANSN
ikki	DN
fyrr	DCN
enn	DN
løgtingið	SNSNA
hevur	VNPS3
viðgjørt	VANSN
tað	PPNSA
og	C
málið	SNSNA
síðani	DN
er	VNPS3
væl	DN
fyrireikað	VANSN
.	KE

-	KO
Tað	PPNSN
er	VNPS3
kanska	DN
heldur	DCN
ikki	DN
so	DN
avgerandi	VP
,	KC
men	C
tað	PPNSN
er	VNPS3
í	DG
hvussu	DN
er	VNPS3
okkara	PP1PG
vón	SFSN
,	KC
at	C
vit	PP1PN
fáa	VI
eina	PBFSA
bæði	DN
skjóta	APSFSA
og	C
góða	APSFSA
avtalu	SFSA
.	KE

Koyrdi	VNAS3
út	DN
av	DN
í	DG
Kollafirði	SMSDP

Bilførarin	SMSNA
,	KC
sum	CR
var	VNAS3
ávirkaður	VAMSN
av	DG
rúsdrekka	SNSD
,	KC
megnaði	VNAS3
ikki	DN
at	CI
halda	VI
bilin	SMSAA
á	DG
vegnum	SMSDA
og	C
fór	VNAS3
út	DN
av	DG
vegnum	SMSDA
í	DG
Líðini	SFSDP
.	KE

Sunnudagin	SMSAA
var	VNAS3
ein	PBMSN
maður	SMSN
tikin	VAMSN
fyri	DN
at	CI
koyra	VI
við	DG
kenning	SFSD
.	KE

Tilsamans	DN
eru	VNPP3
26	NO
studentar	SMPN
á	DG
skeiðinum	SNSDA
.	KE

,	KC
Jákup	SMSNP
Thorsteinsson	SMSNP
,	KC
dr.	TT
phil.	TT
,	KC
Lena	SFSNP
Reinert	SXP
,	KC
stud	TS
.	KE

Tey	PPNPN
leggja	VNPP3
trýst	SNSA
á	DN
og	CI
fáa	VNPP3
sítt	PENSA
ígjøgnum	DN
.	KE

Jóannes	SMSNP
Eidesgaard	SXP
hevur	VNPS3
tó	DN
roynt	VANSN
tann	PDMSA
politiska	APWFSA
vegin	SMSAA
.	KE

Tað	PPNSA
eru	VNPP3
tvey	NCNPN
reiðarí	SNSN
,	KC
sum	CR
stýra	VNPP3
øllum	PBNSD
.	KE

Arbeitt	VANSN
verður	VNPS3
frá	DG
ymiskum	APSFPD
síðum	SFSD
at	CI
loysa	VI
málið	SNSAA
.	KE

Her	DN
umborð	DN
kenna	VNPP3
vit	PP1PN
einki	DN
til	DG
,	KC
at	C
nakað	PBNSN
annað	PBNSN
skip	SNSN
skal	VNPS3
verða	VI
tikið	VANSN
,	KC
sigur	VNPS3
skiparin	SMSNA
,	KC
Holgar	SMSNP
Johansen	SXP
úr	DG
Vestmanna	SFSDP
.	KE

Fyri	DN
at	CI
ganga	VI
vaksandi	VP
tørvinum	SMSDA
á	DG
møti	SNSD
,	KC
hevur	VNPS3
Maersk	F
avgjørt	VANSN
at	CI
økja	VI
fráferðirnar	SFPAA
í	DG
vetur	SMSA
.	KE

Petersen	SXP
,	KC
at	C
kappingin	SFSNA
er	VNPS3
til	DG
staðar	SMSG
alla	PBFSA
tíðina	SFSAA
.	KE

T	X
.	KE

Og	C
tey	PPNPN
vóru	VNAP3
øll	PBNPN
av	DG
reinum	APSNSD
og	C
ærligum	APSNSD
hjarta	SNSD
,	KC
og	C
júst	DN
ímyndin	SFSNA
av	DG
Sofusi	SMSDP
sjálvum	PIMSD
.	KE

Her	DN
ikki	DN
minst	DSN
fleiri	ACSNPN
av	DG
fólkunum	SNPDA
,	KC
sum	CR
skaptu	VNAP3
,	KC
Skotlandssiglingina	SFSAA
'	KQ
á	DG
sinni	SNSD
.	KE

Ein	PBFSN
av	DG
teimum	PDFSD
stóru	APSFSD
løtunum	SFSDA
øll	PBNPA
hesi	PDNPA
árini	SNPAA
var	VNAS3
m.a.	TS
tá	DN
,	KC
Skotlandssiglingin	SFSNA
'	KQ
gjørdist	VEAS3
veruleiki	SMSN
og	C
helt	VNAS3
hann	PPMSN
tað	PPNSA
vera	VI
stórt	APSNSA
spell	SNSA
,	KC
at	C
hon	PPFSN
var	VNAS3
burturdottin	VAFSN
,	KC
nú	DN
hon	PPFSN
hevði	VNAS3
fingið	VANSN
so	DN
stóran	APSMSA
týdning	SMSA
fyri	DG
útviklingin	SMSAA
í	DG
hesum	PDNSD
økinum	SNSDA
.	KE

Men	C
eg	PP1SN
haldi	VNPS1
tit	PP2PN
øll	PBNPN
her	DN
heima	DN
eiga	VNPP3
at	CI
vera	VI
,	KC
wide	F
awake	F
'	KQ
(	KO
sera	DN
varin	APSNPN
og	C
ansin	APSNPN
)	KO
.	KE

Stórur	APSMSN
áhugi	SMSN
fyri	DG
internetinum	SNSDA

Vit	PP1PN
høvdu	VNAP3
trupulleikar	SMPA
við	DG
talinum	SNSD
av	DG
mótaldum	SNPD
,	KC
men	C
vit	PP1PN
hava	VI
loyst	VANSN
tann	PDMSA
trupulleikan	SMSAA
við	DG
at	CI
trýfalda	VI
talið	SNSAA
av	DG
mótaldum	SNPD
.	KE

Ingigerð	SFSNP
á	DG
Trøðni	SFSDAP
,	KC
leiðari	SMSN
á	DG
Kunningarstovuni	SFSDA
í	DG
Tórshavn	SFSDP
,	KC
hevur	VNPS3
verið	VANSN
í	DG
Spania	SNSDP
og	C
tikið	VANSN
ímóti	DG
virðisløn	SFSD
,	KC
sum	C
latin	VAFSN
er	VNPS3
fyri	DG
gongutúrar	SMPA
við	DG
ferðaleiðara	SMSD
,	KC
ið	C
Kunningarstovan	SFSNA
skipar	VNPS3
fyri	DN

Talan	SFSN
var	VNAS3
um	DG
eina	PBFSA
matstovu	SFSA
,	KC
sum	CR
lá	VNAS3
inni	DN
í	DG
eini	PBFSD
gjógv	SFSA
,	KC
sum	CR
siglast	VE
mátti	VNAS3
til	DN
,	KC
og	C
har	DN
inni	DN
lá	VNAS3
so	DN
matstovan	SFSNA
sum	C
á	DG
einum	PBNSD
kópalátri	SNSD
,	KC
greiðir	VNPS3
Ingigerð	SFSNP
á	DG
Trøðni	SFSDAP
frá	DN
.	KE

Sambært	DG
donskum	APSNPD
bløðum	SNPD
fer	VNPS3
Maersk	F
Air	F
undir	DG
fleiri	ACSFPA
nýggjar	APSFPA
rutur	SFPA
til	DG
lond	SNPA
í	DG
Suðurevropa	SNSDP
,	KC
samstundis	DN
sum	CR
prísurin	SMSNA
á	DG
í	DG
hvussu	DN
er	VNPS3
summum	PBMSD
ferðaseðlum	SMPD
verður	VNPS3
væl	DN
lægri	ACSMSN
enn	DN
vanligt	APSNSN
.	KE

Orðini	SNPNA
hava	VNPP3
vakt	VANSN
stóran	APSMSA
ans	SMSA
í	DG
Svøríki	SNSDP
,	KC
tí	C
Brunei	SNSNP
verður	VNPS3
roknað	VANSN
sum	CR
eitt	PBNSA
einaræði	SNSN
,	KC
har	DN
kvinnur	SFPN
eingi	PBNPN
rættindi	SNPN
hava	VNPP3
,	KC
og	C
har	DN
talifrælsið	SNSNA
,	KC
átrúnaðarfrælsið	SNSNA
og	C
pressufrælsið	SNSNA
eru	VNPP3
sera	DN
avmarkað	APSNPN
.	KE

Ein	PBMSN
av	DG
teimum	PDMPD
sjey	NCMPD
vognunum	SMPDA
,	KC
sum	CR
er	VNPS3
dumpaður	VAMPN
,	KC
er	VNPS3
ein	PBMSN
vognur	SMSN
,	KC
sum	CR
er	VNPS3
nógv	DN
at	CI
síggja	VI
í	DG
gøtunum	SFPDA
í	DG
Føroyum	SFPDP
.	KE

Men	C
verður	VNPS3
sagt	VANSN
frá	DG
ENG	TS
,	KC
at	C
fyri	DN
at	C
hetta	PDNSN
skal	VNPS3
verða	VI
ein	PBMSN
veruligur	APSMSN
vandi	SMSN
,	KC
so	DN
skal	VNPS3
talan	SFSN
vera	VI
um	DG
eitt	PBNSA
barn	SNSA
,	KC
sum	CR
er	VNPS3
millum	DG
2	NO
og	C
3	NO
ára	SNPG
aldur	SMSA
,	KC
sum	CR
liggur	VNPS3
í	DG
liftini	SFSDA
,	KC
barnið	SNSNA
má	VNPS3
liggja	VI
uttan	DG
selar	SMSA
í	DG
vogninum	SMSDA
,	KC
so	DN
at	C
tað	PPNSN
av	DG
sær	PPNSD
sjálvum	PINSD
kann	VNPS3
grulva	VI
úr	DG
liftini	SFSDA
og	C
handtakið	SNSNA
skal	VNPS3
verða	VI
í	DG
niðastu	ASSFSD
positión	SFSD
.	KE

Hartil	DN
munnu	VNPP3
tey	PDNPN
foreldur	SNPN
,	KC
ið	CR
lata	VI
síni	PPNPG
børn	SNPA
sita	VI
óbundin	APSNPN
í	DG
vognunum	SMPDA
,	KC
verða	VNPP3
sera	DN
fá	APSNPN
í	DG
tali	SNSD
,	KC
heldur	VNPS3
Mariann	SFSNP
,	KC
sum	CR
eisini	DN
leggur	VNPS3
afturat	DN
,	KC
at	C
um	C
fólk	SNPN
ikki	DN
eru	VNPP3
trygg	APSNPN
við	DG
liftina	SFSAA
,	KC
sum	CR
kemur	VNPS3
við	DG
keypinum	SNSDA
av	DG
einum	PBMSD
Simo	F
kombivogni	SMSD
,	KC
so	DN
er	VNPS3
onki	DN
til	DG
hindurs	SNSG
fyri	DG
,	KC
at	C
tey	PPNPN
kunnu	VNPP3
fáa	VI
eina	PBFSA
vanliga	APSFSA
lift	SFSA
.	KE

Ferðsluóhapp	SNSN

Løgreglan	SFSNA
sigur	VNPS3
,	KC
at	C
ein	PBMSN
krani	SMSN
hjá	DG
Mekanik	F
í	DG
Runavík	SFSDP
varð	VNAS3
nýttur	VAMSN
til	DG
sjálva	PIFSA
upptøkuna	SFSAA
.	KE

Í	DG
viðmerkingunum	SFPDA
til	DG
fyrispurningin	SMSAA
siga	VI
tær	PPFPN
báðar	PBFPN
,	KC
at	C
eingin	PBMSN
ivi	SMSN
er	VNPS3
um	DG
,	KC
at	C
skipaður	VAMSN
kvinnuhandil	SMSN
er	VNPS3
við	DG
útlendskum	APSFPD
kvinnum	SFPD
fer	VNPS3
fram	DN
í	DG
Føroyum	SFPDP
.	KE

-	KO
Men	C
tað	PPNSN
,	KC
sum	CR
undrar	VNPS3
okkum	PP1PA
er	VNPS3
,	KC
at	C
gingið	VANSN
verður	VNPS3
so	DN
lætt	APSNSN
um	DG
tað	PPNSA
virksemi	SNSA
,	KC
sum	CR
,	KC
blaðið	SNSNA
vísir	VNPS3
á	DN
,	KC
fer	VNPS3
fram	DN
.	KE

Tey	PDNPN
fyrstu	APWNPN
teirra	PPNPG
,	KC
sum	CR
komu	VNAP3
í	DG
Sýsluna	SFSAA
,	KC
ganga	VI
í	DG
dag	SMSA
í	DN
10.	NO
flokki	SMSD
í	DG
Sørvágs	SMSGP
skúla	SMSD
og	C
síðan	DN
eru	VNPP3
allir	PBMPN
aldursbólkar	SMPN
niðureftir	DN
til	DG
tey	PPNPA
trý	NC
ára	SNPG
gomlu	APWNPA
í	DG
bygdini	SFSDA
.	KE

Í	DG
dag	SMSA
er	VNPS3
pláss	SNSN
fyri	DG
36	NO
børnum	SNPD
.	KE

Nýggi	APSMSN
Smyril	SMSN

umborð	DN
.	KE

Jóannes	SMSNP
Eidesgaard	SXP
við	DG
fyrsta	ASWNSD
eintakinum	SNSDA
av	DG
Reyðubók	SFSD
,	KC
ið	CR
lýsir	VNPS3
verjupolitisku	APSFSA
støðu	SFSA
Føroya	SFPGP
,	KC
sæð	VANSN
við	DG
eygunum	SNPDA
hjá	DG
Sovjetsamveldinum	SNSDP
.	KE

Sovjetsamveldið	SNSNA
var	VNAS3
væl	DN
vitandi	VP
um	DG
,	KC
at	C
Danmark	SNSNP
ikki	DN
var	VNAS3
ført	APSNSN
fyri	DN
at	CI
verja	VI
Føroyar	SFPAP
í	DG
eini	PBFSD
krígsstøðu	SFSD
.	KE

Undir	DG
kalda	APWNSD
krígnum	SNSDA
varð	VNAS3
ofta	DN
ført	VANSN
fram	DN
,	KC
at	C
Føroyar	SFPNP
í	DG
eini	PBFSD
krígsstøðu	SFSD
kundu	VNAP3
verið	VANSN
raktar	VAFPN
av	DG
kjarnorkuvápnum	SNPD
,	KC
tí	C
NATO	TS
hevði	VNAS3
útgerð	SFSA
her	DN
.	KE

Harafturímóti	DN
bendir	VNPS3
alt	DN
á	DG
,	KC
at	C
so	DN
var	VNAS3
,	KC
skrivar	VNPS3
Bent	SMSNP
Jensen	SXP
.	KE

Bent	SMSNP
Jensen	SXP
undrast	VE
á	DG
,	KC
hví	DN
donsku	APWNPN
myndugleikarnir	SMPNA
ikki	DN
hava	VNPP3
røkt	VANSN
uppgávuna	SFSAA
at	CI
kanna	VI
útlendsku	APWMPA
(	KO
les	VMS
sovjetisku	APWMPA
)	KO
persónarnar	SMPAA
,	KC
ið	CR
vitjaðu	VNAP3
Føroyar	SFPAP
.	KE

Væleydnað	APSNSN
messingvikuskifti	SNSN

Og	C
væl	DN
var	VNAS3
vant	VANSN
,	KC
tí	C
samspælið	SNSNA
var	VNAS3
frálíkt	APSNSN
.	KE

Einasta	ASWNSN
orsøkin	SFSNA
kundi	VNAS3
verið	VANSN
,	KC
at	C
tær	PPFPN
ikki	DN
ynskja	VNPP3
at	CI
hava	VI
eina	PBFSA
fosturtøku	SFSA
nevnda	VAFSN
í	DG
føroysku	APWNPD
pappírunum	SNPDA
,	KC
sigur	VNPS3
hon	PPFSN
.	KE

Hon	PPFSN
sigur	VNPS3
tað	PPNSA
vera	VI
reinar	DN
gitingar	SFPN
,	KC
sum	CR
t.d.	TS
Naser	F
Khader	F
hevur	VNPS3
ført	VANSN
fram	DN
,	KC
um	DG
alla	PBFSA
rúgvuna	SFSAA
av	DG
føroyskum	APSFPD
kvinnum	SFPD
,	KC
sum	CR
fella	VNPP3
uttan	DN
fyri	DG
strongu	APWFSA
føroysku	APWFSA
fosturtøkulógina	SFSAA
og	C
fara	VNPP3
til	DG
Danmarkar	SNSGP
.	KE

Dysturin	SMSNA
var	VNAS3
ógvuliga	DN
rótutur	APSMSN
og	C
hart	DN
spældur	VAMSN
,	KC
men	C
tá	C
ið	C
tikið	VANSN
verður	VNPS3
samanum	DN
,	KC
eiga	VNPP3
kyndlamenn	SMPA
at	CI
verða	VI
best	DSN
nøgdir	APSMPN
við	DG
javnleikin	SMSAA

Gerster	SXP
hevði	VNAS3
ein	PBMSN
av	DG
sínum	PPMSD
heilt	DN
góðu	APSMPD
døgum	SMPD
,	KC
men	C
hann	PPMSN
fekk	VNAS3
so	DN
sanniliga	DN
eisini	DN
umstøður	SFPA
til	DG
tað	PPNSA
av	DG
gávumildu	APWFSD
kyndlaverjuni	SFSDA
.	KE

Eisini	DN
kann	VNPS3
spurnartekin	SNSN
setast	VE
við	DN
,	KC
hvi	VNAS3
venjarin	SMSNA
hjá	DG
Kyndli	SMSD
ikki	DN
gav	VNAS3
summum	PBMSD
av	DG
sínum	PPMSD
leikarum	SMSD
eina	PBFSA
pausu	SFSA
,	KC
so	DN
teir	PPMPN
kundu	VNAP3
fáa	VI
eitt	PBNSA
sindur	SNSA
av	DG
luft	SFSD
.	KE

Jacob	SMSNP
Jónsson	SMSAP
minkaði	VNAS3
skjótt	DN
um	DG
munin	SMSAA
,	KC
og	C
í	DG
næsta	APWNSD
álopinum	SNSDA
hjá	DG
Kyndli	SMSD
fingu	VNAP3
teir	PPMPN
brotskast	SNSA
,	KC
og	C
samstundis	DN
fekk	VNAS3
Henrik	SMSNP
Gerster	SXP
sína	PPMSA
triðju	APWFSA
útvísing	SFSA
og	C
harvið	DN
reyða	APWNSA
kortið	SNSAA
.	KE

Fiskimálaráðið	SNSNA
vil	VNPS3
ikki	DN
gera	VI
viðmerkingar	SFPA
til	DG
dómin	SMSAA
í	DG
Føroya	SFPGP
Rætti	SMSD
,	KC
fyrr	DCN
enn	DN
avgerð	SFSN
er	VNPS3
tikin	VAFSN
um	DN
,	KC
um	C
málið	SNSNA
skal	VNPS3
kærast	VE
til	DG
Landsrættin	SMSAA

Partarnir	SMPNA
hava	VI
tvær	NCFPA
vikur	SFPA
til	DN
at	CI
umhugsa	VI
dómin	SMSAA
.	KE

Áhugin	SMSNA
er	VNPS3
sera	DN
stórur	APSMSN
,	KC
sigur	VNPS3
hann	PPMSN
,	KC
og	C
fólk	SNPN
spyrja	VNPP3
hann	PPMSA
eisini	DN
um	DG
,	KC
hvat	PQNSN
ið	CR
tað	PPNSN
næsta	ASSNSN
verður	VNPS3
,	KC
sum	C
hann	PPMSN
fer	VNPS3
í	DG
holt	SX
við	DN
av	DG
íbúðarbygging	SFSD
.	KE

Sambært	DG
byggimeistaranum	SMSDA
vísir	VNPS3
tað	PPNSN
seg	PPNSA
,	KC
at	C
fleiri	ACSNPN
og	C
fleiri	ACSNPN
eru	VNPP3
áhugaði	APSNSN
í	DG
at	CI
hava	VI
okkurt	PBNSA
minni	DCN
at	CI
búgva	VI
í	DN
,	KC
tí	C
tey	PPNPN
tíma	VNPP3
ikki	DN
at	CI
hava	VI
so	DN
nógv	APSNSA
at	CI
fara	VI
um	DN
,	KC
sigur	VNPS3
hann	PPMSN
.	KE

Sosialurin	SMSNA
ger	VNPS3
nú	DN
eisini	DN
útvarp	SNSA

Seinastu	ASWFPA
árini	SNPAA
hevur	VNPS3
blaðið	SNSNA
eisini	DN
skrivað	VANSN
tíðindini	SNPAA
til	DG
www.portal.fo	SX
hjá	DG
Føroya	SFPDP
Tele	F
,	KC
sum	CR
er	VNPS3
Føroya	SFPDP
nógv	DN
mest	DSN
vitjaða	VAFSN
heimasíða	SFSN
.	KE

Mennandi	VP
samstarv	SNSN

Stórur	APSMSN
áhugi	SMSN
er	VNPS3
fyri	DG
sethúsum	SNPD
,	KC
og	C
serliga	DN
tey	PDNPN
nýggjaru	ACWNPN
húsini	SNPNA
eru	VNPP3
løtt	DN
at	CI
sleppa	VI
av	DN
við	DN
,	KC
verður	VNPS3
sagt	VANSN
hjá	DG
Húsamekling	SFSD
.	KE

Foto	F
:	KE
Terji	SMSNP
Nielsen	SXP

Tað	PPNSN
hevur	VNPS3
ljóðað	VANSN
,	KC
at	C
manningarparturin	SMSNA
er	VNPS3
einar	NR
250.000	NO
krónur	SFPN
,	KC
men	C
tað	PPNSA
vil	VNPS3
reiðarin	SMSNA
ikki	DN
vátta	VI
.	KE

Mortan	SMSNP
Johannesen	SXP
sigur	VNPS3
,	KC
at	CI
ilt	APSNSN
er	VNPS3
at	CI
spáa	VI
um	DG
,	KC
hvussu	DN
gongdin	SFSNA
verður	VNPS3
.	KE

Sonny	SMSNP
Johannesen	SXP
,	KC
skipari	SMSN
á	DG
Ennibergi	SNSDP
,	KC
sigur	VNPS3
,	KC
at	C
hann	PPMSN
frætti	VNAS3
um	DG
umrøðuna	SFSAA
,	KC
hetta	PDNSN
eina	AI
hálið	SNSNA
fekk	VNAS3
,	KC
men	C
vísir	VNPS3
á	DG
,	KC
at	C
teir	PPMPN
høvdu	VNAP3
onnur	PBNPA
hál	SNPA
,	KC
sum	CR
vóru	VNAP3
á	DG
leið	SFSD
líka	DN
so	DN
stór	APSNPN
.	KE

Skiparin	SMSNA
sigur	VNPS3
,	KC
at	C
fiskurin	SMSNA
,	KC
teir	PPMPN
fingu	VNAP3
í	DG
russiskum	APSMSD
sjógvi	SMSD
,	KC
serliga	DN
í	DG
byrjanini	SFSDA
var	VNAS3
ógvuliga	DN
góður	APSMSN
.	KE

Tað	PPNSN
er	VNPS3
hetta	PDNSN
,	KC
sum	C
Strandferðslan	SFSNA
hevur	VNPS3
lagt	VANSN
seg	PPFSA
eftir	DN
,	KC
nú	DN
hon	PPFSN
er	VNPS3
farin	VAFSN
at	CI
fyrireika	VI
nýggju	APWFPA
ferðaætlanina	SFSAA
,	KC
sum	CR
skal	VNPS3
koma	VI
í	DG
gildi	SNSA
í	DG
summar	SNSA
og	C
sum	CR
sostatt	DN
skal	VNPS3
verða	VI
galdandi	VP
tað	PPNSA
næsta	ASWNSA
árið	SNSAA
.	KE

Fáa	VI
betri	DCN
samband	SNSA

Eitt	PBNSN
nú	DN
er	VNPS3
ógreitt	APSNSN
,	KC
hvussu	DN
nógv	DN
Ternan	SFSNA
fer	VNPS3
at	CI
